Context,Example,Implemented,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,all,id,Prop_top,Prop_bottom,Prop_NGO,Prop_ind
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,Y,0,1,0,0,0,0,2,1,1,0,5,NA,0.2,0.6,0,0.2
CC,Investment in new gear or innovations,N,0,2,0,0,0,0,0,0,5,0,7,16,0.2857142857142857,0,0,0.7142857142857143
CC,Investment in new gear or innovations,Y,0,0,1,0,0,1,1,0,3,0,6,16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
N,Investment in new gear or innovations,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Investment in new gear or innovations,Y,0,0,3,0,0,0,0,0,11,0,14,16,0.21428571428571427,0,0,0.7857142857142857
CC,Diversify livelihoods,N,0,0,0,0,0,0,0,0,2,0,2,17,0,0,0,1
CC,Diversify livelihoods,Y,0,0,0,0,0,0,0,0,1,0,1,17,0,0,0,1
N,Diversify livelihoods,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,Y,0,1,1,0,0,0,0,0,0,0,2,17,1,0,0,0
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,Y,0,1,1,0,0,0,0,0,0,0,2,NA,1,0,0,0
CC,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,Y,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
