Context,Example,Implemented,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,all,id,Prop_top,Prop_bottom,Prop_NGO,Prop_ind
CC,MPAs,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,Y,0,0,1,0,0,0,0,0,0,0,1,NA,1,0,0,0
CC,Enforcement,N,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CC,Enforcement,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Enforcement,N,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0
N,Enforcement,Y,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,0,0,0,0,0,0,1,1,0,0,2,NA,0,1,0,0
CC,Reductions in other stressors,N,0,1,0,0,0,0,0,0,1,0,2,6,0.5,0,0,0.5
CC,Reductions in other stressors,Y,0,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0
N,Reductions in other stressors,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Review programs / regulations,N,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0
CC,Review programs / regulations,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Review programs / regulations,N,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0
N,Review programs / regulations,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Restoration,N,0,0,0,0,0,0,0,0,1,1,2,10,0,0,0,1
CC,Restoration,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,Y,0,0,0,0,1,0,1,0,0,0,2,10,0,0.5,0.5,0
CC,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Education,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Education,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Education,N,1,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
N,Education,Y,0,0,2,0,0,0,2,0,0,0,4,NA,0.5,0.5,0,0
CC,Adaptation programs,N,1,1,1,1,0,0,0,0,0,0,4,5,0.75,0.25,0,0
CC,Adaptation programs,Y,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0
N,Adaptation programs,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Research,N,1,2,0,0,0,0,0,0,0,0,3,3,1,0,0,0
CC,Research,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Research,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Research,Y,0,0,2,0,0,0,1,0,0,0,3,3,0.6666666666666666,0.3333333333333333,0,0
CC,Coordination and organization,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Coordination and organization,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Coordination and organization,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Coordination and organization,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Market diversification,N,0,1,0,0,0,0,1,0,2,0,4,8,0.25,0.25,0,0.5
CC,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,N,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,1
N,Market diversification,Y,0,0,0,0,0,0,0,0,2,0,2,8,0,0,0,1
CC,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,1,1,0,0,0,0,0,0,0,0,2,NA,1,0,0,0
N,Economic/community development,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Investments to improve value chain,N,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,1
N,Investments to improve value chain,Y,0,0,1,1,0,0,0,0,0,1,3,NA,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
CC,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,N,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,0
N,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investment in new gear or innovations,N,0,0,0,0,0,0,0,0,4,4,8,7,0,0,0,1
CC,Investment in new gear or innovations,Y,0,2,1,0,0,0,0,0,0,1,4,7,0.75,0,0,0.25
N,Investment in new gear or innovations,N,0,0,0,0,0,0,0,1,0,1,2,7,0,0.5,0,0.5
N,Investment in new gear or innovations,Y,0,1,1,1,0,0,0,0,0,2,5,7,0.4,0.2,0,0.4
CC,Diversify livelihoods,N,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,1
CC,Diversify livelihoods,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,N,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,1
N,Diversify livelihoods,Y,0,0,2,0,0,0,1,0,0,0,3,9,0.6666666666666666,0.3333333333333333,0,0
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,Y,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
CC,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
