Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
N,Cooperatives,Y,0,0,2,2,NA,0,0,1
CC,Restoration,N,0,0,1,1,19,0,0,1
CC,Restoration,Y,0,0,1,1,19,0,0,1
N,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Coordination and organization,N,1,0,1,2,8,0.5,0,0.5
CC,Coordination and organization,Y,0,0,1,1,8,0,0,1
N,Coordination and organization,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Coordination and organization,Y,3,1,6,10,8,0.3,0.1,0.6
CC,Review programs / regulations,N,0,1,1,2,10,0,0.5,0.5
CC,Review programs / regulations,Y,1,0,1,2,10,0.5,0,0.5
N,Review programs / regulations,N,0,0,1,1,10,0,0,1
N,Review programs / regulations,Y,1,0,15,16,10,0.0625,0,0.9375
CC,Education,N,1,0,2,3,6,0.3333333333333333,0,0.6666666666666666
CC,Education,Y,1,0,0,1,6,1,0,0
N,Education,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Education,Y,2,0,0,2,6,1,0,0
CC,Enforcement,N,1,0,2,3,9,0.3333333333333333,0,0.6666666666666666
CC,Enforcement,Y,0,0,1,1,9,0,0,1
N,Enforcement,N,3,1,0,4,9,0.75,0.25,0
N,Enforcement,Y,5,10,32,47,9,0.10638297872340426,0.2127659574468085,0.6808510638297872
CC,Dynamic ocean management,N,1,1,0,2,5,0.5,0.5,0
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,0,0,1,1,5,0,0,1
CC,MPAs,N,0,0,1,1,17,0,0,1
CC,MPAs,Y,0,0,1,1,17,0,0,1
N,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,Y,1,0,6,7,17,0.14285714285714285,0,0.8571428571428571
CC,Reductions in other stressors,N,0,0,1,1,18,0,0,1
CC,Reductions in other stressors,Y,0,0,1,1,18,0,0,1
N,Reductions in other stressors,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Research,N,1,0,1,2,12,0.5,0,0.5
CC,Research,Y,3,0,16,19,12,0.15789473684210525,0,0.8421052631578947
N,Research,N,2,0,0,2,12,1,0,0
N,Research,Y,8,5,20,33,12,0.24242424242424243,0.15151515151515152,0.6060606060606061
CC,Adaptation programs,N,0,0,1,1,13,0,0,1
CC,Adaptation programs,Y,0,0,4,4,13,0,0,1
N,Adaptation programs,Y,0,1,0,1,13,0,1,0
CC,Disaster funds,N,1,0,0,1,1,1,0,0
CC,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster funds,Y,0,1,1,2,1,0,0.5,0.5
CC,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,Y,0,1,0,1,NA,0,1,0
CC,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Market diversification,Y,0,2,0,2,16,0,1,0
N,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,N,2,0,1,3,7,0.6666666666666666,0,0.3333333333333333
CC,Investments to improve value chain,Y,0,1,1,2,7,0,0.5,0.5
N,Investments to improve value chain,N,0,1,0,1,7,0,1,0
N,Investments to improve value chain,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investment in new gear or innovations,N,2,2,1,5,11,0.4,0.4,0.2
CC,Investment in new gear or innovations,Y,0,1,3,4,11,0,0.25,0.75
N,Investment in new gear or innovations,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Investment in new gear or innovations,Y,1,1,10,12,11,0.08333333333333333,0.08333333333333333,0.8333333333333334
CC,Diversify livelihoods,N,0,0,2,2,14,0,0,1
CC,Diversify livelihoods,Y,0,0,1,1,14,0,0,1
N,Diversify livelihoods,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,Y,0,0,1,1,14,0,0,1
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,0,0,1,1,15,0,0,1
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,1,0,0,1,15,1,0,0
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,3,3,2,8,15,0.375,0.375,0.25
CC,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,1,3,6,10,NA,0.1,0.3,0.6
CC,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,Y,0,1,0,1,NA,0,1,0
