Context,Example,Implemented,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,all,id,Prop_top,Prop_bottom,Prop_NGO,Prop_ind
N,Research,N,10,8,1,2,0,1,0,0,0,0,22,16,0.8636363636363636,0.09090909090909091,0.045454545454545456,0
N,Research,Y,1,2,1,1,1,0,5,0,0,0,11,16,0.36363636363636365,0.5454545454545454,0.09090909090909091,0
CC,Coordination and organization,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Coordination and organization,Y,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
N,Coordination and organization,N,1,1,0,1,1,0,1,0,0,1,6,1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666
N,Coordination and organization,Y,1,2,2,1,0,0,3,0,2,1,12,1,0.4166666666666667,0.3333333333333333,0,0.25
CC,Market diversification,N,0,1,0,0,0,0,0,0,0,0,1,8,1,0,0,0
CC,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,0,1,1,0,0,0,0,0,0,0,2,NA,1,0,0,0
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
N,Economic/community development,Y,1,2,1,2,0,0,3,1,0,0,10,NA,0.4,0.6,0,0
CC,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,Y,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0
N,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,N,0,1,0,0,0,0,0,0,0,0,1,7,1,0,0,0
CC,Investments to improve value chain,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Investments to improve value chain,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Investments to improve value chain,Y,1,3,1,4,0,0,5,1,1,0,16,7,0.3125,0.625,0,0.0625
CC,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,Y,0,1,0,1,0,0,1,1,0,0,4,NA,0.25,0.75,0,0
CC,Investment in new gear or innovations,N,0,1,1,0,0,0,0,0,0,1,3,14,0.6666666666666666,0,0,0.3333333333333333
CC,Investment in new gear or innovations,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Investment in new gear or innovations,N,4,3,0,0,0,0,0,0,1,1,9,14,0.7777777777777778,0,0,0.2222222222222222
N,Investment in new gear or innovations,Y,1,2,1,0,1,0,2,0,1,1,9,14,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222
CC,Diversify livelihoods,N,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0
CC,Diversify livelihoods,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,N,0,1,0,1,0,0,0,0,0,0,2,3,0.5,0.5,0,0
N,Diversify livelihoods,Y,1,2,1,2,0,0,3,0,1,2,12,3,0.3333333333333333,0.4166666666666667,0,0.25
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,Y,0,2,0,1,0,0,2,1,1,0,7,NA,0.2857142857142857,0.5714285714285714,0,0.14285714285714285
CC,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,N,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
N,Financial assistance to help survive bad fishing years,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
