Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,Y,1,1,0,2,NA,0.5,0.5,0
CC,Restoration,N,0,0,0,0,15,NaN,NaN,NaN
CC,Restoration,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,Y,0,1,0,1,15,0,1,0
CC,Coordination and organization,N,1,0,2,3,9,0.3333333333333333,0,0.6666666666666666
CC,Coordination and organization,Y,0,0,2,2,9,0,0,1
N,Coordination and organization,N,1,0,0,1,9,1,0,0
N,Coordination and organization,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Review programs / regulations,N,2,0,0,2,5,1,0,0
CC,Review programs / regulations,Y,0,0,2,2,5,0,0,1
N,Review programs / regulations,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Review programs / regulations,Y,1,0,0,1,5,1,0,0
CC,Education,N,1,0,1,2,10,0.5,0,0.5
CC,Education,Y,0,1,2,3,10,0,0.3333333333333333,0.6666666666666666
N,Education,N,2,0,0,2,10,1,0,0
N,Education,Y,0,1,0,1,10,0,1,0
CC,Enforcement,N,0,1,0,1,12,0,1,0
CC,Enforcement,Y,0,1,0,1,12,0,1,0
N,Enforcement,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Enforcement,Y,0,2,0,2,12,0,1,0
CC,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,MPAs,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Reductions in other stressors,N,2,0,0,2,4,1,0,0
CC,Reductions in other stressors,Y,0,0,1,1,4,0,0,1
N,Reductions in other stressors,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,Y,0,1,0,1,4,0,1,0
CC,Research,N,5,2,11,18,8,0.2777777777777778,0.1111111111111111,0.6111111111111112
CC,Research,Y,1,0,0,1,8,1,0,0
N,Research,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Research,Y,0,1,0,1,8,0,1,0
CC,Adaptation programs,N,6,0,0,6,3,1,0,0
CC,Adaptation programs,Y,5,0,2,7,3,0.7142857142857143,0,0.2857142857142857
N,Adaptation programs,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster funds,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,Y,0,1,0,1,NA,0,1,0
CC,Market diversification,N,0,3,0,3,14,0,1,0
CC,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,N,1,0,0,1,14,1,0,0
N,Market diversification,Y,0,1,0,1,14,0,1,0
CC,Investments to improve value chain,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,Y,1,0,0,1,1,1,0,0
N,Investments to improve value chain,N,1,0,0,1,1,1,0,0
N,Investments to improve value chain,Y,2,0,0,2,1,1,0,0
CC,Investment in new gear or innovations,N,2,0,1,3,6,0.6666666666666666,0,0.3333333333333333
CC,Investment in new gear or innovations,Y,0,2,0,2,6,0,1,0
N,Investment in new gear or innovations,N,2,0,0,2,6,1,0,0
N,Investment in new gear or innovations,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Diversify livelihoods,N,0,1,0,1,11,0,1,0
CC,Diversify livelihoods,Y,0,1,0,1,11,0,1,0
N,Diversify livelihoods,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,1,1,0,2,NA,0.5,0.5,0
CC,Transition out of fisheries,N,1,2,0,3,7,0.3333333333333333,0.6666666666666666,0
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,0,1,0,1,7,0,1,0
CC,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,Y,0,1,0,1,NA,0,1,0
