Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,Y,2,1,0,3,NA,0.6666666666666666,0.3333333333333333,0
CC,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Restoration,Y,3,0,0,3,7,1,0,0
N,Restoration,N,0,0,1,1,7,0,0,1
N,Restoration,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Coordination and organization,N,1,0,0,1,2,1,0,0
CC,Coordination and organization,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Coordination and organization,N,0,1,1,2,2,0,0.5,0.5
N,Coordination and organization,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Review programs / regulations,N,1,0,0,1,8,1,0,0
CC,Review programs / regulations,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Review programs / regulations,N,0,0,1,1,8,0,0,1
N,Review programs / regulations,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Education,N,1,0,0,1,3,1,0,0
CC,Education,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Education,N,0,1,0,1,3,0,1,0
N,Education,Y,0,2,0,2,3,0,1,0
CC,Enforcement,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Enforcement,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Enforcement,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Enforcement,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,2,0,0,2,NA,1,0,0
CC,MPAs,N,1,0,0,1,5,1,0,0
CC,MPAs,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,N,0,1,1,2,5,0,0.5,0.5
N,MPAs,Y,0,1,0,1,5,0,1,0
CC,Reductions in other stressors,N,1,0,0,1,6,1,0,0
CC,Reductions in other stressors,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Research,N,2,1,0,3,10,0.6666666666666666,0.3333333333333333,0
CC,Research,Y,1,1,0,2,10,0.5,0.5,0
N,Research,N,0,1,0,1,10,0,1,0
N,Research,Y,0,2,0,2,10,0,1,0
CC,Adaptation programs,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Adaptation programs,Y,1,0,0,1,1,1,0,0
N,Adaptation programs,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster funds,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster funds,Y,0,1,0,1,NA,0,1,0
CC,Financial assistance to help transition out of fishery,N,0,1,0,1,13,0,1,0
N,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,Y,0,2,0,2,13,0,1,0
CC,Market diversification,N,0,1,0,1,15,0,1,0
CC,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,Y,1,1,0,2,15,0.5,0.5,0
CC,Investments to improve value chain,N,0,1,0,1,14,0,1,0
CC,Investments to improve value chain,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Investments to improve value chain,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Investments to improve value chain,Y,1,0,0,1,14,1,0,0
CC,Investment in new gear or innovations,N,1,0,0,1,9,1,0,0
CC,Investment in new gear or innovations,Y,1,1,0,2,9,0.5,0.5,0
N,Investment in new gear or innovations,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Investment in new gear or innovations,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Diversify livelihoods,N,0,1,0,1,11,0,1,0
CC,Diversify livelihoods,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Diversify livelihoods,N,0,1,0,1,11,0,1,0
N,Diversify livelihoods,Y,0,1,0,1,11,0,1,0
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,0,1,0,1,NA,0,1,0
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,N,0,1,0,1,16,0,1,0
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,0,2,0,2,16,0,1,0
CC,Financial assistance to help survive bad fishing years,N,0,1,0,1,12,0,1,0
N,Financial assistance to help survive bad fishing years,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help survive bad fishing years,Y,0,4,0,4,12,0,1,0
