Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Investment in new gear or innovations,N,N,0.462,0.154,0.154,0.231
Investment in new gear or innovations,N,Y,0.167,0.167,0.5,0.167
Investments to improve value chain,CC,N,0,0.5,0,0.5
Investments to improve value chain,CC,Y,0.4,0.2,0.2,0.2
Investments to improve value chain,N,N,0.333,0.25,0.333,0.083
Investments to improve value chain,N,Y,0.125,0.188,0.375,0.312
Market diversification,CC,N,0.4,0.267,0.067,0.267
Market diversification,CC,Y,NA,NA,NA,NA
Market diversification,N,N,0.125,0.125,0.375,0.375
Market diversification,N,Y,0.062,0.188,0.188,0.562
MPAs,CC,N,0.862,0.069,0.034,0.034
MPAs,CC,Y,0.7,0.2,0.1,0
MPAs,N,N,0.857,0.143,0,0
MPAs,N,Y,0.4,0.4,0.2,0
Permit/license/quota banks,CC,Y,1,0,0,0
Permit/license/quota banks,N,N,0,0,0.5,0.5
Permit/license/quota banks,N,Y,0,0.462,0.462,0.077
Reductions in other stressors,CC,N,0.769,0.179,0.051,0
Reductions in other stressors,CC,Y,0.6,0.2,0.2,0
Reductions in other stressors,N,N,0.6,0.2,0.2,0
Reductions in other stressors,N,Y,0.5,0.25,0,0.25
Research,CC,N,0.577,0.179,0.141,0.103
Research,CC,Y,0.696,0.217,0,0.087
Research,N,N,0.7,0.2,0.1,0
Research,N,Y,0.692,0.231,0,0.077
Restoration,CC,N,0.839,0.097,0.032,0.032
Restoration,CC,Y,0.5,0.389,0.111,0
Restoration,N,N,0.571,0.286,0.143,0
Restoration,N,Y,0.667,0.167,0,0.167
Review programs / regulations,CC,N,0.8,0.125,0.05,0.025
Review programs / regulations,CC,Y,0.5,0.25,0.25,0
Review programs / regulations,N,N,0.636,0.273,0.091,0
Review programs / regulations,N,Y,0.2,0.2,0.2,0.4
Transition out of fisheries,CC,N,0.533,0,0,0.467
Transition out of fisheries,CC,Y,0,0.5,0,0.5
Transition out of fisheries,N,N,1,0,0,0
Transition out of fisheries,N,Y,0.7,0.1,0.1,0.1
