,Initials,Country  ,Context,Example,Stock decline,Sp. distributional shifts,Ocean acidification,Extreme climatic events,Uncertainty (ecological),Market changes,Regulation change,Consolidation,Globalization,Uncertainty (social),Community,Implemented,Anticipatory,Responsive,Both,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,,Reduce stressor,Reduce sensitivity,Cope,No change,Take advantage,Source,Notes,Confidence,,,,,
20,PJW,USA,CC,Research,,,1,,2,,,,,,N,N,x,,,,,,,,,,,x,,,,x,,,,"Ocean AcidificationWhat It Means to Alaskans and How We Can Adapt, Johnson 2016",,,,,,,
21,PJW,USA,CC,Adaptation programs,,,,,,,,,,1,Y,Y,x,,,,x,,,,,,,,,,,x,,,,Bierbaum et al. 2014,Includes lots of federal programs,,,,,,
22,PJW,USA,CC,Adaptation programs,,,,,,,,,,1,Y,Y,x,,,,x,,,,,,,,,,,x,,,,Moser et al. 2014,Lists some state and other programs,,,,,,
23,PJW,USA,N,Insurance  ,1,,,,,,,,,,N,N,x,,,,,x,,,,,,,,,,x,,,,Mumford et al. 2009,,,,,,,
24,PJW,USA,N,Diversifying livelihoods,,,,,,,,,,1,Y,Y,x,,,,,,,,,,,,x,,,x,,,,Badjeck et al. 2010,,,,,,,
25,PJW,UK,CC,Diversifying livelihoods,,,,,,,,,,1,Y,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho and Pinnegar 2013,,,,,,,
26,PJW,USA,N,Diversifying livelihoods,1,,,,,,,,,,Y,Y,,,x,,,x,,,,,,,,,,x,,,,Conway and Shaw 2008,"State programs, probably OR & CA",,,,,,
27,PJW,USA,N,Diversifying livelihoods,,,,,,,,,,1,Y,Y,x,,,,,,,,,,,,x,,,x,,,,"Sethi et al. 2014, Kasperski and Holland 2013, Hilborn et al. 2003",Case studies that show how diversified livelihoods are more resilient than non-diversified.,,,,,,
28,PJW,USA,N,Community-based rights,,,,,,,,1,,,Y,Y,x,,,,,x,,,,,,,,,x,,,,,Himes-Cornell and Hoelting 2015,"Community Development Quotas, certain % allocated to Native villages in Bering Sea-Aleutian region",,,,,,
29,PJW,USA,N,Economic/community development,,,,,,,,1,2,,Y,Y,x,,,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,Community Development Quotas require a large portion of profits to remain within community, allowed by regional legislation,,,,,
30,PJW,USA,N,Community-based rights,,,,,,,,1,,,Y,Y,x,,,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,"Community Entity Quotas, % to small, rural villages in GOA, regional legislation. Not successful - start-up costs were high - no requirement to keep profits within community",,,,,,
31,PJW,USA,N,Fair trade laws,,,,,,,,1,,,Y,Y,x,,,,,x,,,,,,,,,x,,,,,Himes-Cornell and Hoelting 2015,Bering-Sea Aleutian Islands Crab Rationalization & Central GOA Rockfish programs have geographic delivery requirements.,,,,,,
32,PJW,USA,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,1,,,Y,Y,,x,,,,x,,,,,,,,,,x,,,,Himes-Cornell and Hoelting 2015,NOAA Finance Program,,,,,,
33,PJW,USA,N,Diversifying livelihoods,,,,,,,,1,,,Y,Y,,,x,,,,,x,,x,,,,,,x,,,,Himes-Cornell and Hoelting 2015,NEED TO CHECK,,,,,,
34,PJW,USA,N,Permit/license/quota banks,,,,,,,,1,,,Y,Y,,,x,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,Alaska Trust,,,,,,
35,PJW,USA,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,1,,,Y,Y,,x,,,,,,x,,x,,,,,,x,,,,"Himes-Cornell and Hoelting 2015, Jain and Garderet 2011","Local Fish Fund, North Pacific Fishery Trust: a Community Quota Entity (nonprofit community organization allowed to own quota by NPFMC), aimed to improve long-term economic community prospects; needed EcoTrust for capital which then formed NPFT",,,,,,
36,PJW,USA,N,Economic/community development,,,,,,,,1,,,Y,Y,,x,,,,,,x,,x,,,,,,x,,,,Jain and Garderet 2011,"Local Fish Fund, North Pacific Fishery Trust: a Community Quota Entity (nonprofit community organization allowed to own quota by NPFMC), aimed to improve long-term economic community prospects; needed EcoTrust for capital which then formed NPFT",,,,,,
37,PJW,USA,N,Investments to improve value chain,,,,,,,,,,1,Y,Y,x,,,,,,,x,,,,,,,,x,,,,Himes-Cornell and Hoelting 2015,Alaska Trust,,,,,,
38,PJW,USA,N,Investments to improve value chain,,,,,,,,,,1,Y,Y,x,,,,,,,,,,,x,,,,x,,,,Himes-Cornell and Hoelting 2015,,,,,,,
39,PJW,USA,N,Transition out of fisheries,,,,,,,,1,2,,Y,Y,,x,,,,,,,,,,,x,,,,x,,,Himes-Cornell and Hoelting 2015,"Case studies where fishers need to outmigrate from small towns because of changing expectations of the global economy (e.g., to get a Uni education)",,,,,,
40,PJW,USA,N,Diversifying livelihoods,2,,,,,,,1,,,Y,Y,,x,,,,,,,,,,,x,,,x,,,,Himes-Cornell and Hoelting 2015,,,,,,,
41,PJW,USA,N,Market diversification,,,,,,,,,,1,N,N,x,,,,,,,,,,,x,,,,x,,,,Johnson 2012,,,,,,,
42,PJW,USA,N,Market diversification,,,,,,,,,,1,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,"Morrissey 2008, EAC 2013",,,,,,,
43,PJW,UK,CC,Market diversification,,1,,,,,,,,,Y,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho and Pinnegar 2013,,,,,,,
44,PJW,ICE,N,Investments to improve value chain,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,,,,,,,,
45,PJW,USA,N,Investment in new gear or innovations,1,,,,,,,,,,N,Y,x,,,,x,,,x,x,,,x,,,x,,,,,Jenkins et al. 2013,,,,,,,
46,PJW,USA,N,Transition out of fisheries,1,,,,,,,,,,N,Y,,x,,,,x,,,,,,,,,,,x,,,Conway and Shaw 2008,,,,,,,
47,PJW,US-NE,N,MPAs,1,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,Conway and Shaw 2008,,,,,,,
48,PJW,US-AK,N,Individual property rights,1,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,Johnson 2012,,,,,,,
49,PJW,US-AK,CC,Individual property rights,1,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,Johnson 2012,,,,,,,
50,PJW,NOR,N,Fair trade laws,,,,,,,,1,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PJW,CAN,N,Market diversification,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,,,,,,,
52,PJW,CAN,N,Education,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,Capacity building,,,,,,
53,PJW,CAN,N,Investment in new gear or innovations,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,,,,,,,
54,PJW,CAN,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,,,,Y,Y,,x,,,,x,,,,,x,,,,,x,,,,EAC 2013,Fédération régionale acadienne des pêcheursprofessionnels (FRAPP),,,,,,
55,PJW,CAN,N,Cooperatives,,,,,,,,,,,Y,Y,,x,,,,,,,,,x,,,,,x,,,,EAC 2013,Community Quotas and Eastern Shore Fishermen’s Protective Association,,,,,,
56,PJW,CAN,N,Permit/license/quota bank,,,,,,,,,,,Y,Y,x,,,,,,,,,x,,,,,,x,,,,EAC 2013,Maritime Fishermen’s Union,,,,,,
57,PJW,CAN,N,Cooperatives,,,,,,,,,,,Y,Y,x,,,,,,,,,x,,,,,,x,,,,EAC 2013,Maritime Fishermen’s Union,,,,,,
58,PJW,CAN,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,,,,Y,Y,x,,,,,x,,,,,,,,,,x,,,,EAC 2013,Community Economic Development Investment Fund,,,,,,
59,PJW,CAN,N,Economic/community development,,,,,,,,,,,Y,Y,x,,,,,,,,,,,x,,,,x,,,,EAC 2013,New Dawn Enterprises,,,,,,
60,PJW,CAN,N,Investments to improve value chain,,,,,,,,,,,Y,Y,x,,,,,,,x,,,,,,,,x,,,,EAC 2013,The Future of Fish Initiative,,,,,,
61,PJW,CAN,N,Investments to improve value chain,,,,,,,,,,,Y,Y,x,,,,,,,x,,,,,,,,x,,,,EAC 2013,The Future of Fish Initiative,,,,,,
62,PJW,USA-NE,N,Permit/license/quota bank,1,,,,,,2,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,"EAC 2013, Jain and Garderet 2011",The Cape Cod Fisheries Trust,,,,,,
63,PJW,USA-NE,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",1,,,,,,2,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,"EAC 2013, Jain and Garderet 2011",The Cape Cod Fisheries Trust,,,,,,
64,PJW,USA-NE,N,Economic/community development,1,,,,,,2,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,"EAC 2013, Jain and Garderet 2011","The Cape Cod Fisheries Trust, aim was to keep quota local",,,,,,
65,PJW,USA-NE,N,Cooperatives,1,,,,,,2,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,Jain and Garderet 2011,"The Cape Cod Fisheries Trust, requires information sharing",,,,,,
66,PJW,CAN,N,Permit/license/quota bank,,,,,,,,,,,Y,Y,x,,,,,,,x,,x,x,,,,,x,,,,EAC 2013,Pacific Coast Fishing Conservation Company and Ecotrust Canada,,,,,,
67,PJW,CAN,N,Permit/license/quota bank,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,general recommendations,,,,,,
68,PJW,CAN,N,Investments to improve value chain,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,general recommendations,,,,,,
69,PJW,CAN,N,Education,,,,,,,,,,,Y,N,x,,,,,,,x,,,,x,,,,x,,,,EAC 2013,"general recommendations - Awareness building, public communication",,,,,,
70,PJW,CAN,N,Investments in new gear or innovations,,,,,,,,,,,Y,N,x,,,,,,,,,,,x,,,,x,,,,EAC 2013,general recommendations,,,,,,
71,PJW,CAN,N,Coordination and organization,,,,,,,,,,,Y,N,x,,,,,,,,,,,x,,,,x,,,,EAC 2013,general recommendations,,,,,,
72,PJW,USA-WC,N,Financial assistance to help survive bad fishing years,,,,,,,,,,,Y,Y,,x,,,x,x,,,,,,,,,,,x,,,Conway & Shaw 2008,West Coast salmoncrisis of the mid-1990s,,,,,,
73,PJW,USA-WC,N,Financial assistance to help transition out of fishery,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,Oregon Groundfish Disaster Outreach Program - West Coast Fisheries Disaster,,,,,,
74,PJW,USA-WC,N,Education,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,Oregon Groundfish Disaster Outreach Program - West Coast Fisheries Disaster - Capacity building,,,,,,
75,PJW,USA-WC,N,Diversifying livelihoods,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,Washington response - West Coast Fisheries Disaster,,,,,,
76,PJW,USA-WC,N,Research,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,Washington response - West Coast Fisheries Disaster,,,,,,
77,PJW,USA-WC,N,Financial assistance to help transition out of fishery,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,California response - West Coast Fisheries Disaster,,,,,,
78,PJW,USA-WC,N,Research,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,California response - West Coast Fisheries Disaster,,,,,,
79,PJW,USA-WC,N,Financial assistance to help survive bad fishing years,,,,,,,,,,,Y,Y,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,California response - West Coast Fisheries Disaster (safety equipment purchasing fund),,,,,,
80,PJW,USA-WC,N,Coordination and organization,,,,,,,,,,,Y,N,,x,,,,x,,,,,,,,,,,x,,,Conway & Shaw 2008,recommendation from CA & OR experiences,,,,,,
81,PJW,USA-WC,N,Disaster funds,1,,,,,,,,,,N,Y,,x,,,x,,,,,,,,,,,,x,,,Conway & Shaw 2008,"Federal funds available, no program",,,,,,
82,PJW,USA-NE,N,Dynamic ocean management,1,,,,,,,,,,N,Y,x,,,,x,,,,,,,,,,,x,,,,Little et al. 2015,Barents & Norwegian Seas RTCs,,,,,,
83,PJW,NOR,N,Dynamic ocean management,2,,,,,,1,,,,N,Y,x,,,,x,,,,,,,x,,,,x,,,,Little et al. 2015,Scottish RTCs,,,,,,
84,PJW,UK,N,Dynamic ocean management,1,,,,,,,,,,N,Y,x,,,,,x,,,,,,,,,,x,,,,Little et al. 2015,EU-Norway RTCs,,,,,,
85,PJW,NOR,N,Dynamic ocean management,1,,,,,,,,,,N,Y,x,,,,x,,,,,,,x,,,,x,,,,Little et al. 2015,Icelandic RTCs,,,,,,
86,PJW,ICE,N,Dynamic ocean management,2,,,,,,1,,,,N,Y,x,,,,,x,,,,,,,,,,x,,,,Little et al. 2015,US AK Bering Sea pollock fishery - Chum salmon rolling hotspots,,,,,,
87,PJW,US-AK,N,Dynamic ocean management,2,,,,,,1,,,,N,Y,x,,,,,,,x,,,x,,,,,x,,,,Little et al. 2015,US Pacific whiting fishery - Overfished species hotspots,,,,,,
88,PJW,US-AK,N,Cooperatives,2,,,,,,1,,,,N,Y,,x,,,,,,,,,x,,,,,x,,,,"OECD country note, McCay 2004",US AK Bering Sea pollock cooperative,1,,,,,
89,PJW,US-AK,N,Community-based rights,,,,,,,1,,,,N,Y,,x,,,,,,,,,x,,,,,x,,,,Sylvia et al. 2014,"US AK Bering Sea pollock cooperative, sector-based allocations",1,,,,,
90,PJW,US-AK,N,Investments to improve value chain,,,,,,,,,,1,N,Y,,x,,,,,,,,,x,,,,,x,,,,Sylvia et al. 2014,Gave some examples of existing marketing cooperatives in AK and NE but also talking more generally about how cooperatives can help creat marketing cooperatives that help with stabilization of prices,1,,,,,
91,PJW,US-AK,N,Cooperatives,2,,,,,,1,,,,N,Y,,x,,,,,,x,,,,,,,,x,,,,"OECD country note, McCay 2004; Sylvia et al. 2014",US Pacific whiting fishery - Overfished species hotspots, Pacific Whiting Conservation Cooperative,,,,,
92,PJW,US-AK,N,Community-based rights,,,,,,,1,,,,N,Y,,x,,,,,,,,,x,,,,,x,,,,Sylvia et al. 2014,Pacific Whiting Conservation Cooperative - sector based allocations,,,,,,
93,PJW,US-AK,N,Community-based rights,,,,,,,1,,,,N,Y,,x,,,,,,,,,x,,,,,x,,,,Sylvia et al. 2014,Chignik Seafod Producers Alliance,,,,,,
94,PJW,US-AK,N,Cooperatives,,,,,,,1,,,,N,Y,,x,,,,,,,,,x,,,,,x,,,,Sylvia et al. 2014,Chignik Seafod Producers Alliance,,,,,,
95,PJW,US-NE,N,Cooperatives,,,,,,,1,,,,N,Y,,x,,,x,,,x,,,x,,,,,x,,,,Sylvia et al. 2014,NE Sector management system created from existing industrial associations with large help from NGOs,,,,,,
96,PJW,US-NE,N,Community-based rights,,,,,,,1,,,,N,Y,,x,,,x,,,x,,,x,,,,,x,,,,"Sylvia et al. 2014, Lubchenco et al. 2016",NE Sector management system created from existing industrial associations with large help from NGOs,,,,,,
97,PJW,US-NE,N,Cooperatives,2,,,,,,1,,,,Y,Y,,x,,,,,,,,,x,,,,,x,,,,"OECD country note, McCay 2004",Georges Banks hook and line sector quota,,,,,,
98,PJW,US-AK,N,Cooperatives,2,,,,,,1,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,Little et al. 2015,US Pacific whiting fishery ,,,,,,
99,PJW,US-NW,N,Dynamic ocean management,2,,,,,,1,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,Little et al. 2015, Holland and Jannot 2012, Hastings et al. 2017,US Pacific groundfish fishery - Spatial risk zones,,,,
100,PJW,US-NW,N,Cooperatives,2,,,,,,1,,,,Y,Y,x,,,,,,,x,,,,x,,,,x,,,,Little et al. 2015, Holland and Jannot 2012,US Pacific groundfish fishery - Spatial risk zones,,,,,
101,PJW,US-NW,N,Dynamic ocean management,1,,,,,,,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US NW Atlantic mid-water trawls - herring bycatch avoidance program (SMAST),,,,,,
102,PJW,US-NW,N,Cooperatives,1,,,,,,,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US NW Atlantic mid-water trawls - herring bycatch avoidance program (SMAST),,,,,,
103,PJW,US-NE,N,Dynamic ocean management,1,,,,,,2,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US Atlantic Scallop - yellowtail flounder bycatch program (SMAST),,,,,,
104,PJW,US-NE,N,Cooperatives,1,,,,,,2,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US Atlantic Scallop - yellowtail flounder bycatch program (SMAST),,,,,,
105,PJW,US-NE,N,Dynamic ocean management,1,,,,,,,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US S New England & Mid-Atlantic squid fishery - STN butterfish / herring / shad avoidance program,,,,,,
106,PJW,US-NE,N,Cooperatives,1,,,,,,,,,,Y,Y,x,,,,,,,,x,,,x,,,,x,,,,Little et al. 2015,US S New England & Mid-Atlantic squid fishery - STN butterfish / herring / shad avoidance program,,,,,,
107,PJW,UK,CC,Research,,,,,,,,,,1,N,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Broad adaptation action category,,,,,,
108,PJW,UK,CC,Research,,,,,1,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Broad adaptation action category,,,,,,
109,PJW,UK,CC,Forecasting,1,2,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Broad adaptation action category,,,,,,
110,PJW,UK,CC,Research,1,2,,,,,,,,,N,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Broad adaptation action category,,,,,,
111,PJW,UK,CC,MPAs,,,,,1,,,,,,N,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,"reassessment of current ones, developing new as necessary, focusing on ecosystem components e.g. sandeel",,,,,,
112,PJW,UK,CC,Review program/regulations,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Broad adaptation action category,,,,,,
113,PJW,UK,CC,Reductions in other stressors,,,,,1,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,mainly in response to invasives,,,,,,
114,PJW,UK,CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,1,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,especially to fund new gears or vessels,,,,,,
115,PJW,UK,CC,Economic/Community development,1,2,,,,,,,,,Y,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,funds to coastal communities where there is substantial job loss,,,,,,
116,PJW,UK,CC,Education,,,,,,,,,,1,Y,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,"education for coastal communities, awareness building",,,,,,
117,PJW,UK,CC,Individual property rights,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,develop adaptive quotas - suggested that they respond to variability in climate/food availability,,,,,,
118,PJW,UK,CC,Education,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,"in relaiton to aquaculture industry, capacity building",,,,,,
119,PJW,UK,CC,International agreements,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,"Review, develop on sustainability",,,,,,
120,PJW,UK,CC,International agreements,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,"Review, develop on sustainability",,,,,,
121,PJW,UK,CC,Enforcement,,1,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Strengthen controls for preventing non-native introductions,,,,,,
122,PJW,UK,CC,Review program/regulations,1,2,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Change conservation criteria / standards,,,,,,
123,PJW,UK,CC,Coordination and organization,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Simplify responsibilities and regulation,,,,,,
124,PJW,UK,CC,Restoration,,,,,1,,,,,,N,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
125,PJW,UK,CC,Reductions in other stressors,,,,,1,,,,,,N,Y,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
126,PJW,UK,CC,Disaster risk management,,,,,1,,,,,,N,N,x,,,,x,,,,,,,,,,,,x,,,Garnacho & Pinnegar 2013,Emergency response planning to maintain conservation measures,,,,,,
127,PJW,UK,CC,Dynamic ocean management,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Program for international surveillance and information sharing,,,,,,
128,PJW,UK,CC,International agreement,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Program for international surveillance and information sharing,,,,,,
129,PJW,UK,CC,Forecasting,,1,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Pre-emptive risk assessment of most likely introductions,,,,,,
130,PJW,UK,CC,International agreement,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Program for international coordination in prevention and eradication of non-native species,,,,,,
131,PJW,UK,CC,International agreement,,,,,1,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,International agreement on Arctic access,,,,,,
132,PJW,UK,CC,Market diversification,,,,,,,,,,1,Y,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
133,PJW,UK,CC,Diversifying livelihoods,,,,,,,,,,1,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
134,PJW,UK,CC,Review program/regulations,,1,,,,,,,,,N,N,x,,,x,,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,Develop quota (access) regulations for incoming species,,,,,,
135,PJW,UK,CC,Research,,,,1,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
136,PJW,UK,CC,Forecasting,,,,1,,,,,,,N,N,x,,,,x,,,,,,,,,,,x,,,,Garnacho & Pinnegar 2013,,,,,,,
137,PJW,UK,CC,Disaster risk management,,,,1,,,,,,,N,N,x,,,,x,,,,,,,,,,,,x,,,Garnacho & Pinnegar 2013,Improve emergency response and increase berths,,,,,,
138,PJW,UK,CC,Investment in new gear or innovations,2,1,,,,,,,,,N,N,x,,,,x,,,,,,,,,,,,,,x,Garnacho & Pinnegar 2013,,,,,,,
139,PJW,US-NE,N,Economic/Community development,,,,,,,1,2,,,Y,Y,,x,,,,,,,,x,,x,,,,x,,,,Witter & Stoll 2017,"Community Supported Fishery (Cape Ann Fresh Catch), also unspecified ones in Table 1",,,,,,
