Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Financial assistance to help survive bad fishing years,N,Y,0.786,0.143,0,0.071
Financial assistance to help transition out of fishery,CC,N,0.667,0.167,0.167,0
Financial assistance to help transition out of fishery,N,N,0.625,0.25,0.125,0
Financial assistance to help transition out of fishery,N,Y,0.909,0.091,0,0
Individual property rights,CC,N,1,0,0,0
Individual property rights,CC,Y,NA,NA,NA,NA
Individual property rights,N,N,1,0,0,0
Individual property rights,N,Y,0.875,0.062,0,0.062
Insurance,CC,N,0.4,0,0.1,0.5
Insurance,CC,Y,0.75,0,0.25,0
Insurance,N,N,1,0,0,0
Insurance,N,Y,0,0.5,0,0.5
International agreements,CC,N,1,0,0,0
International agreements,CC,Y,1,0,0,0
International agreements,N,N,1,0,0,0
International agreements,N,Y,0.5,0.167,0.167,0.167
Investment in new gear or innovations,CC,N,0.463,0.104,0,0.433
Investment in new gear or innovations,CC,Y,0.296,0.259,0.037,0.407
Investment in new gear or innovations,N,N,0.556,0.148,0.074,0.222
Investment in new gear or innovations,N,Y,0.356,0.111,0.133,0.4
Investments to improve value chain,CC,N,0.438,0.188,0,0.375
Investments to improve value chain,CC,Y,0.429,0.143,0.143,0.286
Investments to improve value chain,N,N,0.4,0.24,0.16,0.2
Investments to improve value chain,N,Y,0.238,0.381,0.167,0.214
Market diversification,CC,N,0.525,0.3,0.025,0.15
Market diversification,CC,Y,0.333,0,0,0.667
Market diversification,N,N,0.308,0.077,0.231,0.385
Market diversification,N,Y,0.056,0.167,0.167,0.611
MPAs,CC,N,0.902,0.049,0.024,0.024
MPAs,CC,Y,0.81,0.143,0.048,0
MPAs,N,N,0.9,0.1,0,0
MPAs,N,Y,0.8,0.12,0.08,0
Permit/license/quota banks,CC,Y,1,0,0,0
Permit/license/quota banks,N,N,0,0,0.5,0.5
Permit/license/quota banks,N,Y,0.071,0.429,0.429,0.071
Reductions in other stressors,CC,N,0.776,0.172,0.034,0.017
Reductions in other stressors,CC,Y,0.762,0.095,0.143,0
Reductions in other stressors,N,N,0.714,0.143,0.143,0
Reductions in other stressors,N,Y,0.467,0.267,0.067,0.2
Research,CC,N,0.58,0.092,0.227,0.101
Research,CC,Y,0.707,0.061,0.183,0.049
Research,N,N,0.778,0.139,0.083,0
Research,N,Y,0.683,0.139,0.079,0.099
Restoration,CC,N,0.8,0.089,0.044,0.067
Restoration,CC,Y,0.571,0.333,0.095,0
Restoration,N,N,0.625,0.25,0.125,0
Restoration,N,Y,0.667,0.167,0.042,0.125
Review programs / regulations,CC,N,0.789,0.169,0.028,0.014
Review programs / regulations,CC,Y,0.444,0.333,0.111,0.111
Review programs / regulations,N,N,0.643,0.214,0.143,0
Review programs / regulations,N,Y,0.733,0.1,0.033,0.133
Transition out of fisheries,CC,N,0.588,0,0,0.412
Transition out of fisheries,CC,Y,0,0.5,0,0.5
Transition out of fisheries,N,N,1,0,0,0
Transition out of fisheries,N,Y,0.867,0.033,0.033,0.067
